# Arguments: kr_a=0.0625, kd_a=0.25, rep=100, it=100, relocation=0.0625, division=0.5, rows=20, cols=5, status=None, file_ID=10, delta_t=None
"1,999","21,1","15,999","16,2","9,999","2,999","2,999","11,1","15,1","3,999","15,1","11,0","11,0","2,999","13,999","0,999","12,0","12,3","26,1","20,4","1,999","31,0","7,2","14,999","27,2","6,3","16,1","1,999","12,999","8,4","13,1","12,4","5,999","4,999","11,999","5,999","11,999","6,999","41,2","4,999","20,3","5,999","2,999","25,2","26,1","19,0","11,3","35,2","30,999","58,2","20,3","16,1","1,999","24,4","6,999","27,4","16,3","17,0","12,999","6,999","12,4","14,2","8,4","23,2","23,0","8,0","17,999","6,1","15,3","1,999","5,999","4,999","0,999","27,0","13,3","4,1","0,999","7,999","2,999","32,999","33,0","4,999","2,999","7,3","13,4","12,3","4,999","1,999","4,999","4,2","9,1","13,3","5,999","30,3","6,999","14,1","2,999","12,2","4,999","5,999"
"5,999","14,0","16,4","12,1","1,999","3,999","9,4","2,999","15,999","0,999","21,1","2,999","8,999","17,2","4,999","0,999","4,999","20,999","1,999","6,999","1,999","6,3","17,4","6,999","25,0","29,1","10,999","7,999","21,2","19,3","51,3","23,4","18,999","20,999","3,999","6,999","27,0","2,999","3,999","7,999","15,2","24,2","12,4","9,0","21,2","15,3","6,2","19,3","26,0","7,4","1,999","23,4","2,999","17,4","0,999","21,4","10,2","14,999","21,1","9,3","14,4","16,999","0,999","6,4","3,999","16,1","16,0","14,0","6,999","18,2","22,0","22,3","8,2","4,999","1,999","8,999","2,999","12,0","11,1","0,999","14,4","18,0","7,999","3,2","17,1","15,999","20,0","13,999","23,3","4,999","13,4","13,0","2,999","7,999","20,3","45,3","3,999","20,4","10,0","4,999"
"9,999","35,2","8,1","4,999","4,999","13,0","6,4","1,999","25,1","0,999","6,999","14,999","13,1","5,0","21,2","17,3","14,2","12,1","31,4","4,999","9,999","0,999","29,4","9,999","11,0","9,999","23,3","0,999","13,3","4,999","18,999","15,2","2,999","14,2","2,999","12,999","3,999","41,999","36,999","12,3","1,999","5,999","7,0","22,4","1,999","27,2","12,4","4,0","4,999","5,3","9,1","0,999","12,2","9,0","8,1","16,999","3,1","6,0","10,999","0,999","40,2","12,3","6,999","2,999","9,999","32,1","9,2","4,999","20,1","10,4","43,1","3,999","9,2","22,4","18,0","15,4","17,999","28,1","19,4","15,1","19,1","28,2","13,1","13,1","10,2","5,999","19,999","3,999","24,2","10,999","37,4","29,3","11,0","17,2","5,2","7,999","12,3","5,2","3,999","1,999"
"2,999","3,999","13,999","14,0","0,999","1,999","21,3","16,2","5,999","22,3","28,2","19,1","13,999","24,2","4,0","5,999","2,999","2,999","12,2","1,999","5,999","20,3","1,999","11,2","13,999","24,999","1,999","22,999","2,999","16,0","7,3","5,999","5,1","28,999","26,1","34,999","1,999","1,999","14,1","9,999","11,0","13,0","5,999","18,0","18,4","42,3","5,1","14,2","7,999","11,1","17,0","3,999","22,3","20,1","44,1","30,999","1,999","7,999","23,2","34,1","40,2","32,2","4,0","20,3","3,4","22,999","10,999","14,999","11,3","14,0","18,3","3,999","10,3","2,999","52,4","2,999","3,1","21,0","11,4","13,4","9,2","7,999","0,999","38,2","3,999","20,2","35,999","26,3","34,3","6,4","2,999","5,999","15,4","10,999","25,4","8,3","16,3","0,999","8,3","1,999"
"19,1","2,999","9,999","5,999","25,4","7,999","3,999","10,999","3,999","2,1","10,1","4,3","32,0","16,4","33,2","17,3","17,0","1,999","30,4","13,3","12,999","0,999","14,0","0,999","19,0","24,1","7,2","7,999","1,999","12,2","0,999","2,999","28,2","22,999","1,999","6,0","15,4","3,999","1,999","3,999","18,3","5,4","6,999","8,4","16,4","36,0","19,0","13,4","16,4","5,999","4,999","9,2","6,0","0,999","8,2","8,999","22,3","12,2","12,2","8,999","5,4","34,4","6,0","13,2","3,999","4,999","22,1","4,999","16,0","28,999","17,999","3,999","2,999","1,999","14,4","12,999","28,4","5,1","27,2","2,999","7,3","18,3","16,999","33,0","5,999","19,1","1,999","24,3","12,1","16,1","22,3","9,999","22,0","7,999","4,999","17,2","1,999","3,999","2,999","3,999"
"11,2","22,1","19,3","6,0","2,999","3,4","6,2","23,2","9,0","26,4","8,999","6,999","2,999","10,999","8,999","21,0","4,999","10,999","1,999","24,1","7,3","5,0","7,0","28,999","26,3","26,1","58,999","50,2","28,999","11,999","27,1","12,999","10,0","13,4","25,4","3,999","10,1","14,1","20,2","2,999","7,999","8,4","13,999","13,4","18,1","4,0","13,4","8,1","31,2","20,0","5,999","3,999","11,999","5,4","22,3","2,999","15,2","18,2","39,999","26,0","5,999","9,0","17,2","16,0","25,2","12,2","14,999","11,1","24,999","21,1","9,4","17,2","35,3","30,2","1,999","7,1","7,999","20,3","4,999","10,999","5,999","23,999","47,1","20,3","45,999","14,0","30,1","11,999","6,1","9,0","15,4","19,2","12,999","34,3","3,999","54,4","17,0","2,999","2,999","4,2"
"2,999","28,0","2,999","7,3","3,999","9,999","20,4","10,2","9,999","3,999","8,999","38,3","32,3","3,999","1,999","11,1","9,999","11,4","5,999","9,3","14,2","20,2","14,1","4,1","21,0","2,999","5,999","14,0","27,2","24,3","12,4","3,1","10,999","15,999","21,999","23,0","8,999","14,4","28,3","5,999","2,999","2,999","8,999","5,999","25,1","16,3","3,999","21,0","12,0","23,2","69,0","7,999","15,999","17,3","13,3","8,2","15,0","35,4","58,0","13,3","26,2","21,1","1,999","5,999","5,999","3,999","5,999","9,2","1,999","7,1","4,1","13,0","0,999","17,999","29,1","2,999","3,999","40,1","24,3","50,999","5,0","8,999","13,999","26,3","1,999","22,999","45,2","20,4","9,999","15,999","12,0","16,0","3,1","32,2","26,1","18,3","12,999","7,999","17,1","25,1"
"4,999","1,999","6,999","12,1","7,999","8,999","20,2","3,999","26,3","9,999","10,999","2,3","10,999","17,2","1,999","10,0","17,4","15,1","7,0","13,3","47,1","24,3","24,2","13,3","2,999","20,1","15,3","2,999","5,3","77,1","5,999","3,999","14,4","3,999","2,999","30,999","19,4","11,999","12,2","2,999","8,1","21,3","11,999","41,3","19,0","2,999","8,999","58,0","34,0","1,999","4,2","45,4","3,999","2,999","9,4","38,2","34,3","10,4","5,0","3,999","10,999","3,999","17,999","27,3","13,999","11,999","3,999","3,999","21,4","0,999","5,999","8,0","25,1","9,4","16,999","14,3","7,999","41,3","2,999","3,999","15,999","24,3","4,3","8,1","6,4","14,4","7,999","5,999","1,999","6,999","26,999","8,999","16,1","5,1","15,0","3,999","6,0","40,999","2,999","1,999"
"7,999","11,999","7,999","9,0","7,0","25,3","0,999","21,4","4,999","13,4","18,999","12,0","38,0","60,1","12,0","44,0","15,999","46,1","43,999","18,1","25,1","12,999","38,3","5,999","27,3","10,2","12,1","8,2","6,999","5,4","10,999","6,0","8,0","41,4","21,1","0,999","24,999","21,0","26,1","3,999","22,3","24,3","7,4","29,1","10,999","11,999","2,999","29,0","11,1","4,999","29,0","24,1","20,2","13,2","24,999","9,4","6,999","2,999","28,1","24,0","13,3","41,0","49,4","2,999","27,1","6,999","46,4","28,4","9,2","6,999","7,999","42,2","5,999","9,999","7,999","24,1","10,4","61,2","12,3","25,1","11,999","37,2","20,2","36,4","2,999","3,0","12,999","4,0","18,999","34,3","7,1","20,0","26,1","8,3","13,0","3,999","2,999","13,4","9,999","27,3"
"16,0","43,4","27,4","25,4","3,999","3,999","16,0","15,999","1,999","1,999","5,1","50,0","7,0","4,0","4,999","16,4","15,999","10,2","5,999","1,999","0,999","1,999","27,1","39,2","38,2","26,1","12,1","23,999","17,4","14,0","6,999","10,3","17,3","14,999","9,999","16,4","43,0","10,0","8,2","16,3","14,4","0,999","2,999","11,1","11,4","11,999","21,4","7,999","17,2","2,999","12,999","4,999","7,999","6,999","8,999","6,0","20,3","3,999","2,999","9,4","45,2","1,999","18,1","22,1","1,999","14,0","9,0","12,999","3,999","19,2","10,0","1,999","3,999","11,2","8,999","16,2","6,1","2,3","45,1","21,3","10,0","8,1","30,1","0,999","33,3","3,999","20,2","0,999","0,999","18,0","15,4","15,2","19,1","21,2","30,4","45,999","8,999","47,4","18,3","19,999"
"4,999","7,999","4,999","32,3","17,3","12,4","5,999","6,4","14,1","10,999","6,2","27,1","14,1","7,4","1,999","13,999","7,0","7,0","3,999","28,3","2,999","15,2","72,1","4,999","7,999","5,999","5,1","27,2","9,1","5,999","6,999","10,4","4,999","4,999","18,1","24,3","14,0","4,999","28,999","26,999","12,999","19,4","2,999","3,999","24,4","20,3","2,999","13,4","24,4","6,999","14,4","56,999","5,999","17,0","10,4","9,2","21,999","0,999","20,1","20,2","5,999","1,999","3,999","30,3","14,0","15,999","20,3","41,4","42,3","2,999","13,2","9,999","41,2","24,4","8,1","8,999","5,999","23,0","17,0","16,1","16,4","21,3","4,999","0,999","41,4","19,3","10,4","2,999","1,999","2,999","63,2","11,3","7,999","1,999","17,999","14,4","4,999","19,2","0,999","27,2"
"16,999","5,999","9,999","25,3","10,999","19,999","38,3","59,0","5,999","3,999","19,999","5,999","14,2","35,4","2,999","1,999","27,3","21,4","16,1","26,0","10,999","10,0","36,3","3,999","6,1","4,999","20,3","16,3","9,999","9,999","5,999","13,0","7,999","6,999","23,3","15,3","20,2","7,3","6,999","10,2","3,999","23,2","48,3","15,2","4,3","5,0","7,0","11,1","2,999","9,0","28,1","15,4","14,4","13,1","26,0","16,0","8,3","24,999","9,0","6,999","1,999","1,999","21,2","47,3","22,999","23,1","10,999","8,999","34,0","10,999","7,2","6,999","23,2","18,0","5,3","4,999","14,4","19,0","16,3","25,0","2,999","1,999","15,3","10,0","11,2","5,999","4,999","34,2","34,4","11,2","23,1","14,0","2,999","47,999","5,999","16,999","2,999","53,0","7,999","20,1"
"9,0","9,1","13,4","14,999","7,1","3,999","8,0","18,999","10,999","12,2","11,999","6,999","6,2","13,999","30,3","17,1","1,999","13,999","11,4","23,3","31,3","2,999","12,2","15,0","1,999","4,1","9,999","11,999","29,2","1,999","9,1","8,1","14,1","8,999","20,3","1,999","10,4","2,999","25,3","20,2","13,0","35,0","32,1","15,999","7,999","7,1","11,999","21,0","16,999","7,1","5,999","1,999","7,999","10,3","4,999","6,1","24,1","4,999","18,999","70,1","59,3","3,999","31,0","35,2","22,2","9,999","27,0","5,999","16,999","8,999","6,3","2,999","14,0","9,999","17,4","2,999","10,4","23,4","5,999","20,3","19,1","56,4","12,999","6,999","15,0","48,3","9,4","0,999","6,3","33,3","9,2","12,0","9,3","19,4","31,999","31,999","12,2","25,2","12,4","11,999"
"7,1","33,1","15,3","8,3","17,999","27,2","11,0","30,2","6,1","2,999","35,0","25,1","22,999","8,999","8,3","1,999","7,999","4,999","17,999","7,0","13,999","29,1","11,1","17,3","6,0","14,999","23,4","0,999","7,1","9,999","10,999","11,999","23,999","22,2","19,0","9,4","25,2","5,999","26,1","19,999","17,2","2,999","4,0","13,2","19,4","5,999","2,999","24,3","10,999","23,0","12,0","2,1","24,999","30,2","24,4","10,0","3,999","13,999","50,4","1,999","10,999","5,999","7,2","18,4","16,999","6,999","11,999","3,999","32,2","6,0","11,2","21,1","3,999","64,4","31,1","6,2","10,4","10,1","16,3","47,4","9,2","11,999","2,999","12,0","1,999","14,0","9,3","39,999","9,0","31,3","20,3","37,4","3,999","35,0","18,3","11,4","8,999","3,999","29,1","3,999"
"2,999","48,3","0,999","16,3","5,999","2,999","6,999","14,999","10,999","12,2","68,0","6,999","23,999","4,4","9,0","12,4","25,999","15,999","12,1","42,999","3,999","19,3","0,999","38,2","29,999","15,999","19,1","8,2","5,999","15,4","11,3","25,999","7,999","22,0","8,3","1,999","24,2","12,999","4,999","29,1","11,999","10,2","9,2","11,999","23,1","34,0","9,2","25,2","6,999","9,2","43,2","9,2","11,3","14,1","2,999","30,4","11,2","6,2","21,0","6,1","18,0","36,999","13,4","18,999","22,3","1,999","2,999","17,2","19,2","23,3","3,999","10,999","3,999","2,999","1,999","6,999","10,999","20,4","8,999","30,2","39,3","21,2","19,2","1,3","1,999","0,999","13,4","11,999","18,999","5,999","2,999","17,1","5,2","8,999","2,999","25,999","1,2","1,999","9,0","3,999"
"10,3","2,999","38,1","4,999","8,999","21,2","13,4","10,3","13,999","4,999","0,999","9,999","6,999","1,999","6,999","28,4","34,1","19,0","9,2","12,1","1,999","19,999","1,999","23,1","21,0","7,999","10,2","5,999","17,2","10,3","3,999","6,999","7,3","11,999","1,999","19,3","16,3","31,0","1,999","20,0","10,4","11,1","6,999","20,4","20,4","2,999","30,0","14,1","10,1","27,3","3,999","41,2","19,0","5,999","6,999","0,999","10,0","4,2","31,0","8,4","21,3","12,2","10,0","9,999","21,4","27,1","13,999","20,3","22,0","3,999","20,2","40,2","19,4","2,999","17,3","11,2","16,4","3,2","23,3","3,999","55,2","1,999","1,999","12,4","11,2","29,2","3,999","16,999","0,999","31,2","0,999","21,3","33,4","24,4","22,0","0,999","11,999","4,999","3,999","10,999"
"34,3","5,2","18,0","15,999","27,3","0,999","3,999","5,999","27,3","14,3","16,0","38,3","18,1","1,999","8,999","0,999","5,999","2,999","0,999","15,3","4,2","11,3","2,999","25,4","17,2","1,999","22,1","6,999","0,999","10,3","30,999","17,999","14,999","22,0","11,999","14,2","15,0","42,1","14,999","2,999","5,999","32,1","12,999","4,999","21,1","12,1","2,999","25,999","7,999","7,2","14,2","0,999","10,999","10,1","11,2","9,0","29,0","29,4","24,0","26,4","19,0","0,999","47,1","41,4","0,999","3,999","33,0","45,1","2,999","11,2","13,999","14,3","2,999","23,999","4,999","20,0","7,999","2,999","7,2","7,999","38,4","1,999","1,999","3,999","26,4","22,0","4,2","1,999","12,1","12,4","12,4","25,4","11,0","10,4","2,999","15,3","2,999","10,1","15,2","13,2"
"1,999","6,0","17,4","8,3","5,4","0,999","6,999","9,999","14,1","15,999","1,999","3,2","26,2","45,2","36,2","5,2","10,999","11,3","19,3","37,3","12,1","1,999","4,999","1,999","39,4","15,3","5,999","1,999","4,999","8,4","6,999","5,999","10,999","7,1","31,2","16,1","0,999","19,1","22,999","1,999","28,1","17,4","1,999","9,1","9,999","12,1","38,4","2,999","17,2","2,999","8,999","14,1","24,999","19,2","14,999","36,4","1,999","31,1","12,1","17,1","2,999","10,2","20,999","9,4","16,2","3,999","4,999","5,999","20,1","32,1","6,999","41,3","50,2","10,2","11,2","17,2","19,4","27,2","4,999","22,1","9,0","4,999","15,999","9,999","36,3","31,999","4,999","9,999","5,999","14,2","6,999","14,0","7,999","2,999","58,999","9,999","11,4","19,2","13,4","64,4"
"10,0","0,999","4,999","16,3","4,999","8,999","3,999","7,999","13,2","14,3","1,999","1,999","8,999","0,999","15,999","10,999","26,0","5,999","12,999","24,4","8,999","7,2","15,1","33,3","20,999","25,4","5,999","0,999","15,2","1,999","45,1","1,999","9,3","20,999","42,2","3,999","24,999","12,1","8,2","3,999","4,999","3,999","5,4","17,4","15,3","9,3","4,999","17,2","9,1","2,999","3,999","5,999","117,2","8,4","1,999","14,999","19,4","21,2","8,999","18,2","5,999","6,999","9,999","9,0","0,999","25,4","3,999","1,999","6,999","23,1","11,0","10,0","3,4","15,2","17,0","19,1","20,2","9,3","7,2","20,0","15,1","39,999","18,999","50,1","21,2","15,4","25,3","5,999","3,999","56,3","38,999","6,0","30,3","22,4","33,1","4,999","11,3","4,999","9,3","9,1"
"1,999","15,2","29,4","19,1","47,999","18,4","1,999","13,1","6,999","5,999","20,1","16,0","19,1","0,999","8,999","35,999","1,999","1,999","33,3","17,999","11,4","9,4","26,1","49,0","10,0","4,999","29,0","6,999","2,999","22,999","7,999","7,999","9,999","1,999","3,999","16,2","14,4","9,999","2,999","63,1","10,1","21,2","19,2","5,999","2,4","3,999","22,2","4,0","22,0","1,999","20,3","9,999","1,999","19,1","7,999","30,2","15,1","8,999","8,999","15,3","23,999","9,999","25,2","21,2","19,4","12,999","18,2","22,2","7,1","5,2","25,3","1,999","4,4","2,999","9,4","4,999","6,999","21,4","18,4","39,1","12,999","9,2","6,999","4,999","15,1","4,999","4,999","26,2","5,999","2,999","25,2","0,999","5,999","8,999","4,999","2,999","16,2","13,4","6,999","7,4"
