# Arguments: kr_a=0.0525, kd_a=0.21, rep=100, it=100, relocation=0.0525, division=0.21, rows=20, cols=5, status=None, file_ID=5, delta_t=None
"2,999","1,999","1,999","15,999","4,999","35,0","0,999","40,0","3,999","2,999","3,999","2,999","14,999","4,999","0,999","0,999","0,999","35,0","26,2","26,999","5,999","2,999","65,999","4,999","6,999","43,3","1,999","20,999","5,999","1,999","14,999","13,999","8,999","1,999","3,999","1,999","25,999","13,1","0,999","4,2","0,999","44,999","4,999","23,999","18,999","2,999","4,999","24,999","28,999","0,999","1,999","4,999","0,999","9,999","31,999","3,999","38,999","1,999","46,999","10,999","1,999","2,999","5,999","12,999","27,2","1,999","2,999","22,3","1,999","0,999","1,999","1,999","37,999","9,4","0,999","2,999","70,999","42,3","10,999","15,999","1,999","23,0","32,999","29,4","52,999","6,999","1,999","0,999","3,999","7,999","0,999","13,999","6,999","6,999","0,999","10,999","0,999","18,999","91,3","2,999"
"0,999","0,999","2,999","23,3","0,999","43,1","3,999","4,999","14,999","1,999","29,4","2,999","35,3","8,999","1,999","7,999","1,999","1,999","0,999","14,999","6,999","8,1","9,2","4,999","1,999","20,3","28,999","16,999","14,0","28,999","4,999","48,2","1,999","1,999","0,999","2,999","3,999","4,999","3,999","7,999","9,999","21,3","14,4","6,999","44,999","21,999","1,999","1,999","8,999","1,999","23,999","4,999","4,999","1,999","9,999","46,2","0,999","13,999","3,999","2,999","8,999","0,999","1,999","0,999","31,1","9,999","30,3","2,999","35,2","13,1","17,999","1,999","9,999","1,999","0,999","135,3","2,999","8,999","2,999","6,999","0,999","1,999","8,999","2,999","0,999","5,999","3,999","1,999","3,999","37,3","35,999","2,999","8,999","2,999","15,4","2,999","7,999","37,999","16,3","29,2"
"2,999","35,999","4,999","0,999","3,999","0,999","7,999","3,999","0,999","1,999","2,999","16,999","4,999","56,2","0,999","9,3","1,999","2,999","18,999","2,999","0,999","2,999","0,999","3,999","6,999","12,999","0,999","23,1","11,999","14,999","18,999","29,999","8,999","7,999","0,999","55,3","12,999","18,999","13,1","0,999","4,999","11,999","0,999","1,999","5,999","0,999","8,999","8,999","1,999","13,999","30,999","7,1","1,999","6,999","17,0","0,999","10,999","4,999","25,999","34,999","3,999","2,999","2,999","8,999","10,999","6,999","35,2","4,999","1,999","3,999","9,999","2,999","7,999","26,999","0,999","6,999","1,999","15,999","37,999","37,999","35,999","5,999","1,999","79,999","0,999","1,999","1,999","43,999","2,999","4,999","16,999","16,3","22,999","1,999","3,999","36,4","24,4","21,999","55,999","4,999"
"7,999","7,999","1,999","7,999","18,4","4,999","0,999","41,999","27,999","33,1","0,999","0,999","21,999","48,999","2,999","3,999","5,999","36,3","46,3","1,999","12,999","3,999","1,999","2,999","49,999","3,999","2,999","4,999","0,999","2,999","1,999","2,999","0,999","15,999","21,999","4,999","18,999","1,999","4,999","4,999","0,999","2,999","1,999","17,999","19,999","7,999","0,999","12,999","3,999","61,2","38,999","18,999","5,999","7,999","5,999","0,999","2,999","1,999","12,999","4,999","107,999","1,999","54,0","3,999","4,999","85,4","24,999","14,999","6,999","1,999","7,999","87,0","3,999","35,999","11,999","7,999","2,999","3,999","2,999","51,3","0,999","0,999","3,999","10,999","33,0","7,999","0,999","14,999","0,999","17,999","24,0","3,999","3,999","6,999","7,999","28,999","5,999","5,999","1,999","1,999"
"1,999","41,999","3,999","0,999","2,999","2,999","8,999","4,999","26,999","28,999","6,999","24,1","4,999","6,999","11,999","6,999","10,999","0,999","11,999","6,999","5,999","75,999","1,999","1,999","7,999","0,999","6,999","10,999","0,999","15,999","4,999","20,999","3,999","1,999","40,0","21,999","28,999","5,999","23,999","3,999","5,999","1,999","0,999","43,999","5,999","1,999","2,999","33,999","8,999","0,999","4,999","78,999","0,999","13,2","4,999","3,999","8,999","3,999","38,999","0,999","0,999","2,999","2,999","17,999","43,1","2,999","2,999","2,999","21,999","2,999","11,999","30,0","48,1","96,999","1,999","1,999","59,1","39,999","1,999","0,999","1,999","2,999","5,999","2,999","5,999","1,999","0,999","7,4","11,999","3,999","1,999","51,0","0,999","7,999","4,999","8,999","0,999","20,999","4,999","8,999"
"25,999","2,999","0,999","2,999","0,999","1,999","5,999","0,999","3,999","0,999","9,999","3,999","7,999","1,999","53,999","4,999","3,999","34,999","8,999","0,999","5,999","10,999","3,999","59,4","2,999","0,999","1,999","5,999","36,2","24,999","44,999","1,999","6,999","0,999","13,999","23,999","76,4","3,999","2,999","19,999","5,999","45,4","21,999","36,999","30,2","0,999","8,999","7,999","35,999","1,999","2,999","18,999","5,999","27,999","3,999","0,999","0,999","31,999","27,999","18,999","0,999","10,999","11,999","2,999","0,999","28,999","1,999","7,999","6,999","27,999","2,999","4,999","37,999","0,999","0,999","27,999","0,999","15,999","8,999","15,999","10,999","2,999","1,999","12,999","24,4","16,999","3,999","0,999","1,999","1,999","21,999","1,999","6,999","1,999","4,999","56,3","0,999","20,999","10,999","3,999"
"32,3","7,999","16,999","47,4","1,999","35,4","0,999","1,999","3,999","2,999","18,999","136,999","4,999","4,999","14,999","2,999","3,999","1,999","9,999","2,999","9,3","1,999","1,999","1,999","36,999","1,999","36,0","9,999","13,999","3,999","22,999","3,999","25,999","2,999","10,999","57,999","6,999","76,999","4,999","5,999","7,999","5,999","3,999","14,999","21,999","17,999","4,999","1,999","4,999","17,999","0,999","10,999","7,999","49,999","3,999","43,999","3,999","32,999","3,999","130,2","31,999","6,999","7,999","2,999","37,999","9,999","4,999","2,999","1,999","28,3","2,999","23,3","3,999","33,4","33,1","1,999","9,999","0,999","4,999","17,999","2,999","27,999","2,999","17,999","43,2","8,999","16,999","3,999","0,999","16,999","18,999","2,999","9,999","19,999","6,999","0,999","15,999","2,999","8,999","52,3"
"3,999","1,999","1,999","6,999","1,999","2,999","3,999","7,999","2,999","8,999","1,999","32,999","52,4","9,999","3,999","13,999","1,999","21,999","1,999","4,999","0,999","10,999","4,999","26,2","2,999","0,999","52,999","1,999","20,999","15,999","33,1","3,999","3,999","17,999","6,999","18,999","9,999","9,999","23,999","6,999","43,0","8,999","5,999","0,999","12,999","5,999","0,999","64,999","1,999","69,3","2,999","3,999","3,999","0,999","22,2","12,999","34,999","10,999","5,999","2,999","0,999","15,999","12,999","3,999","16,0","0,999","10,999","8,999","3,999","3,999","11,999","84,4","40,3","0,999","35,999","21,999","2,999","2,999","0,999","1,999","2,999","123,4","3,999","13,999","4,999","1,999","3,999","8,999","1,999","3,999","0,999","37,999","0,999","30,999","5,999","13,999","3,999","0,999","26,999","31,0"
"14,999","7,999","5,999","11,999","2,999","3,999","21,999","53,999","34,999","1,999","2,999","33,999","3,999","4,999","96,999","11,999","77,999","5,999","8,999","14,999","6,999","37,999","8,999","4,999","72,3","13,999","3,999","1,999","2,999","0,999","10,999","16,999","20,999","3,999","13,999","9,4","45,999","8,999","9,999","1,999","1,999","0,999","21,999","0,999","6,999","11,999","2,999","3,999","1,999","8,999","6,999","14,999","5,999","8,999","35,1","17,999","18,999","35,2","4,999","30,999","24,4","16,999","93,999","36,2","0,999","18,999","1,999","2,999","3,999","0,999","51,1","16,999","2,999","5,999","0,999","1,999","4,999","1,999","0,999","8,999","1,999","23,999","1,999","2,999","11,999","26,999","6,999","1,999","8,999","9,999","2,999","0,999","1,999","0,999","28,999","22,999","1,999","0,999","5,999","17,999"
"20,999","4,999","7,999","1,999","14,999","1,999","3,999","27,999","42,3","4,999","1,999","15,999","14,999","9,999","1,999","1,999","29,0","5,999","0,999","2,999","36,1","1,999","3,999","16,999","4,999","3,999","0,999","43,999","9,999","60,999","2,999","24,999","8,999","26,3","1,999","1,999","20,999","0,999","0,999","1,999","14,3","10,999","2,999","0,999","1,999","15,4","3,999","8,999","5,999","0,999","29,999","14,999","3,999","36,3","0,999","10,999","7,999","13,999","1,999","16,999","6,999","1,999","1,999","0,999","52,999","0,999","40,999","40,2","36,999","2,999","0,999","14,999","1,999","1,999","1,999","7,999","1,999","0,999","0,999","37,999","5,999","45,3","1,999","38,999","0,999","2,999","3,999","10,1","11,999","5,999","13,999","5,999","11,999","1,999","34,4","18,999","27,999","5,999","9,4","20,2"
"0,999","19,999","0,999","1,999","7,3","15,999","57,999","9,999","0,999","2,999","1,999","2,999","3,999","3,999","44,999","2,999","6,999","4,999","1,999","5,999","5,999","15,999","8,999","19,999","2,999","15,999","38,999","4,999","16,999","4,999","4,999","2,999","16,999","6,999","3,999","3,999","41,1","0,999","13,999","35,0","0,999","4,999","3,999","10,999","40,999","0,999","0,999","0,999","0,999","0,999","0,999","7,999","27,999","4,999","29,0","31,3","3,999","2,999","31,999","5,999","12,999","6,999","1,999","0,999","6,999","16,999","14,999","1,999","4,999","2,999","3,999","4,999","3,999","9,999","5,999","1,999","39,4","26,2","17,999","1,999","9,999","0,999","25,999","9,999","9,999","1,999","7,999","11,2","2,999","0,999","2,999","3,999","35,999","34,4","8,999","8,999","52,999","15,999","0,999","25,999"
"2,999","1,999","16,999","9,0","1,999","5,999","6,999","0,999","4,999","0,999","8,999","44,0","3,999","0,999","40,3","15,999","0,999","3,999","0,999","1,999","16,999","18,999","24,999","14,999","1,999","6,999","51,0","9,999","3,999","5,999","4,999","18,3","2,999","24,1","4,999","2,999","9,999","17,999","1,999","6,999","7,999","1,999","6,999","5,999","9,999","0,999","17,999","3,999","9,999","1,999","9,999","3,999","1,999","16,999","18,999","5,999","2,999","3,999","28,999","1,999","0,999","12,999","8,999","0,999","5,999","0,999","4,999","3,999","19,999","0,999","3,999","44,0","5,999","13,3","0,999","45,999","0,999","1,999","7,999","18,999","9,999","1,999","0,999","23,2","46,4","9,4","63,999","1,999","0,999","7,999","41,2","18,999","0,999","4,999","1,999","3,999","6,999","0,999","9,999","1,999"
