# Arguments: kr_a=0.0625, kd_a=0.25, rep=100, it=100, relocation=0.0625, division=0.5, rows=20, cols=5, status=None, file_ID=4, delta_t=None
"26,2","14,1","1,999","19,999","21,4","1,999","46,0","1,999","12,999","26,4","14,999","10,2","19,3","5,999","51,3","14,999","27,0","18,3","18,0","18,4","28,4","6,999","8,3","11,3","0,999","14,999","10,999","21,1","9,999","27,1","15,4","21,999","10,2","30,3","23,1","19,0","6,2","3,999","1,999","8,3","3,0","18,1","10,2","1,999","23,3","12,1","35,1","1,999","24,2","7,0","28,3","14,999","9,999","5,3","17,2","26,4","0,999","1,999","4,999","17,4","1,999","27,4","33,3","6,999","25,3","40,0","4,999","7,999","12,0","18,3","5,999","4,999","2,3","20,1","4,4","34,2","10,999","2,999","3,1","25,2","11,999","22,4","0,999","0,999","26,4","1,1","21,1","17,4","10,999","34,0","5,1","25,1","20,2","7,999","24,2","5,999","4,999","0,999","7,999","6,999"
"19,999","4,999","2,999","34,4","24,4","23,2","14,0","53,2","3,999","33,4","23,3","31,4","25,3","4,999","16,1","3,4","22,3","1,999","9,999","12,999","12,0","27,3","24,0","9,4","6,2","26,1","8,0","5,999","10,999","41,999","18,999","19,999","2,999","14,2","7,999","19,999","13,2","1,999","3,999","9,0","16,1","3,999","6,1","1,999","11,999","21,0","8,1","31,1","22,4","4,999","2,999","5,3","0,999","12,999","8,999","8,1","24,4","34,999","26,2","14,0","8,2","17,3","8,999","10,999","11,1","5,999","50,999","28,2","23,1","7,999","1,999","9,4","0,999","25,4","12,1","3,999","14,1","10,0","2,999","24,4","18,2","22,1","3,999","23,2","5,4","13,999","26,999","12,999","1,999","2,999","2,999","15,0","48,3","8,3","22,0","10,2","9,3","22,4","7,0","30,4"
"15,999","11,0","12,3","7,999","14,999","13,2","32,0","16,1","4,999","11,1","18,999","8,3","84,0","22,0","12,2","36,2","11,3","4,999","5,999","7,2","19,999","2,999","13,1","29,999","12,999","4,999","3,999","42,4","18,1","1,999","5,999","9,0","10,999","16,3","2,999","8,4","5,999","37,999","21,3","16,4","8,2","1,999","4,4","30,2","40,2","26,4","3,999","25,1","24,2","14,4","6,999","16,999","13,2","5,999","7,3","14,999","12,2","27,999","4,999","32,3","2,999","5,999","32,0","22,4","58,1","5,999","1,999","12,4","11,4","17,2","9,999","1,999","18,999","33,4","20,3","12,1","4,0","27,4","74,4","16,0","24,1","36,3","33,1","3,999","16,1","5,999","3,999","11,2","6,999","56,3","16,999","2,999","20,0","16,2","4,999","4,999","3,999","24,0","11,1","16,4"
"9,999","7,999","67,999","7,1","10,999","26,2","6,1","2,999","3,999","8,3","16,4","22,2","5,999","6,999","34,3","7,999","5,999","15,999","9,999","7,999","10,1","17,0","9,0","43,2","1,999","1,999","26,0","21,3","10,999","3,999","33,4","19,4","18,999","4,999","12,1","24,0","10,4","18,3","10,999","9,999","18,999","8,999","1,999","25,2","15,3","4,999","3,999","5,0","18,0","0,999","7,999","13,4","1,999","23,2","11,0","22,999","19,999","4,999","29,0","20,4","5,999","22,4","8,999","13,2","10,999","15,1","12,999","18,3","7,2","2,999","37,3","1,999","5,4","3,999","13,3","32,2","5,999","5,999","9,3","3,999","3,999","13,2","10,1","6,999","2,999","4,999","4,999","5,999","22,4","20,2","12,1","11,0","8,999","17,4","4,0","33,3","6,0","2,999","8,1","24,3"
"22,999","45,0","1,999","0,999","25,999","1,999","19,1","13,1","21,0","6,999","21,0","11,999","24,3","9,4","1,999","22,999","2,999","5,0","1,999","7,0","22,0","12,4","4,999","6,999","1,999","6,4","4,2","0,999","14,2","3,999","3,999","23,3","30,2","1,999","67,1","16,3","5,4","4,3","38,1","10,4","4,999","10,999","4,999","7,1","7,0","1,999","40,999","17,1","6,999","20,0","6,999","1,999","21,3","1,999","0,999","16,999","4,999","5,0","13,1","5,999","18,1","1,999","6,2","3,0","19,2","14,0","3,999","16,2","15,4","0,999","4,999","21,0","15,999","1,999","4,999","29,999","15,999","5,999","7,999","5,999","13,999","3,999","6,4","12,1","5,999","17,4","12,0","18,1","1,999","3,999","16,4","10,1","2,4","52,0","13,0","20,2","0,999","27,2","10,2","13,4"
"7,2","26,0","4,999","1,999","8,0","12,1","18,3","5,0","13,0","24,3","30,2","3,999","5,2","8,2","49,4","8,999","1,999","2,0","3,999","16,1","3,999","8,999","15,3","32,3","3,999","18,4","16,0","18,999","24,4","9,2","21,3","13,4","12,4","7,999","7,0","22,3","38,3","0,999","7,999","10,999","4,999","13,4","18,4","13,999","9,999","6,4","3,999","1,999","6,999","4,3","7,2","15,999","10,4","2,999","3,999","37,0","12,999","17,0","11,999","12,999","40,0","1,999","18,4","33,3","50,4","8,999","14,999","21,999","9,999","19,4","23,2","9,0","17,1","17,1","2,999","2,999","25,0","13,2","2,999","25,0","7,4","17,2","4,999","3,999","29,2","9,999","36,4","1,999","26,2","6,3","10,999","15,999","2,999","29,1","15,999","18,999","18,0","7,999","4,1","6,999"
"9,4","26,1","3,999","4,999","21,2","2,999","9,2","4,999","15,1","31,3","23,4","36,999","1,999","12,999","4,999","20,1","15,3","1,999","13,4","16,0","1,999","0,999","8,0","23,4","17,0","6,999","20,3","17,0","14,4","16,0","20,4","39,1","44,3","24,1","23,3","6,999","12,0","35,4","20,3","13,2","35,2","17,999","24,4","21,999","20,1","0,999","17,999","11,2","15,0","0,999","5,3","24,2","7,3","3,999","6,3","13,3","7,999","3,999","17,3","43,0","32,1","5,999","7,999","15,999","38,2","14,0","37,3","24,999","29,999","18,999","35,999","9,2","12,4","20,1","13,999","0,999","38,1","39,3","8,0","31,1","8,999","10,2","1,999","12,2","14,1","2,999","10,999","35,3","27,2","48,4","8,999","0,999","1,999","62,999","9,999","9,0","19,0","10,3","12,999","13,3"
"10,4","9,2","2,999","22,999","15,4","19,3","5,999","2,999","17,0","19,3","1,999","2,999","6,999","30,0","32,2","1,999","9,4","20,0","10,999","1,999","8,999","33,4","18,4","3,999","12,999","8,0","18,999","17,0","32,1","5,999","7,2","11,1","4,999","16,4","4,999","4,999","3,999","0,999","5,999","61,999","15,3","34,2","1,999","28,4","22,4","11,1","7,999","18,1","10,4","33,1","6,2","6,999","3,2","14,999","9,0","37,0","8,999","48,2","31,4","40,3","8,3","18,999","7,999","1,999","0,999","22,3","29,0","11,0","4,999","3,999","46,3","12,3","6,999","17,999","8,2","23,3","9,999","16,3","25,3","4,999","15,2","14,4","10,1","2,999","17,4","10,4","24,2","57,4","3,999","3,999","4,999","5,999","19,2","4,999","7,3","3,999","6,999","4,999","2,999","2,999"
"2,0","25,1","1,999","6,999","12,4","10,2","20,999","5,1","22,2","30,4","12,999","6,999","27,0","2,999","80,1","6,999","11,999","47,3","28,2","14,1","12,0","6,999","13,999","15,3","9,999","29,1","12,999","10,999","33,3","5,3","4,999","2,999","17,4","1,999","10,3","44,4","9,999","1,999","3,999","2,999","30,2","11,0","6,3","15,1","15,3","4,999","2,999","13,3","3,2","4,999","32,4","2,999","14,4","11,1","6,0","38,1","11,999","3,999","1,999","3,999","17,0","17,4","12,999","2,999","3,999","3,999","15,2","57,4","13,3","31,1","54,2","10,999","15,0","27,4","26,3","16,1","6,999","2,999","20,4","6,999","6,999","6,999","15,4","14,999","26,2","2,999","11,3","4,999","24,1","8,999","0,999","27,2","17,3","6,999","12,999","7,3","6,2","16,999","0,999","20,0"
"4,3","2,4","25,2","1,999","5,999","25,2","13,999","7,2","14,0","0,999","5,999","12,2","29,4","11,3","64,0","16,999","19,3","22,4","19,0","35,2","9,999","28,4","0,999","4,999","30,1","14,1","6,999","20,1","55,3","14,3","2,999","5,999","4,999","16,3","6,999","1,999","25,3","28,999","6,999","23,2","24,1","8,999","36,3","6,999","27,4","6,999","3,999","23,4","2,999","0,999","2,999","1,999","7,999","21,999","2,999","2,999","15,3","9,0","3,999","6,3","1,999","101,1","6,1","35,999","0,999","8,1","25,2","7,2","0,999","9,1","19,2","43,4","17,999","0,999","16,1","17,1","0,999","18,1","8,1","30,1","17,3","25,0","2,3","20,999","34,0","2,999","37,3","32,4","23,0","3,0","0,999","0,999","19,3","6,2","13,2","11,4","13,0","11,1","11,1","17,1"
