# Arguments: kr_a=0.0625, kd_a=0.25, rep=100, it=100, relocation=0.0625, division=0.83, rows=20, cols=5, status=None, file_ID=8, delta_t=None
"2,999","14,0","7,0","10,4","2,2","6,999","8,999","2,1","8,0","7,4","9,3","12,2","6,3","22,0","13,999","3,999","7,1","4,999","11,3","5,4","15,0","28,1","29,4","17,4","2,1","1,999","14,2","1,999","12,2","11,3","18,4","19,4","5,3","5,1","1,999","6,999","18,3","4,0","8,2","8,1","10,0","11,3","7,2","8,2","20,4","8,2","4,1","14,3","10,0","16,2","18,1","10,2","5,4","13,2","12,3","6,1","7,3","11,0","4,999","0,999","12,1","12,1","3,999","4,4","9,3","1,999","9,4","3,999","9,3","17,3","1,1","1,999","4,0","1,999","14,2","10,1","8,1","4,2","4,0","8,3","2,999","0,999","10,999","4,0","18,0","16,4","4,999","10,0","20,4","8,999","16,1","2,1","6,1","12,1","3,3","14,1","11,1","13,2","3,999","9,999"
"14,2","14,4","13,0","17,2","5,3","20,4","6,1","5,3","11,3","20,999","3,0","22,4","10,0","8,0","13,4","0,999","14,4","4,4","1,999","1,999","1,2","11,1","3,3","6,0","17,2","10,4","31,1","8,1","6,2","5,2","14,3","20,3","16,0","4,4","12,3","9,999","9,999","4,999","5,1","13,999","7,1","14,3","9,3","9,3","11,999","8,4","3,999","8,4","2,999","9,1","5,3","13,4","18,3","2,999","2,999","12,0","13,2","10,0","7,4","8,1","22,0","9,4","3,999","10,0","19,2","12,1","9,4","6,2","17,4","16,4","14,1","7,1","6,2","3,3","17,0","4,2","5,3","27,4","14,2","10,999","8,2","9,2","8,0","11,1","3,999","7,4","16,2","13,999","10,0","7,0","10,999","14,2","15,4","9,0","2,999","15,4","8,0","4,3","11,4","6,999"
"2,999","16,3","15,1","8,1","14,1","7,1","15,2","3,2","13,0","8,999","13,4","8,2","0,999","12,999","6,3","26,4","0,999","10,999","18,3","4,0","8,2","3,0","5,1","12,2","6,1","11,1","3,3","4,2","9,2","6,1","14,4","0,999","5,4","3,2","2,999","10,4","7,1","12,1","7,4","13,3","7,3","8,0","1,999","4,4","12,3","2,999","12,2","3,999","15,4","9,3","4,999","6,999","22,3","21,4","7,4","14,0","7,0","11,2","13,1","5,3","8,1","2,999","11,2","0,999","5,4","20,0","5,2","2,999","22,2","24,1","12,1","18,1","4,999","7,3","6,0","12,3","9,0","20,3","24,4","4,999","3,3","16,999","11,4","26,1","4,999","13,3","6,2","1,999","5,0","8,0","12,3","13,4","5,999","7,3","7,1","6,3","9,2","9,2","8,999","20,1"
"6,3","1,999","3,999","12,2","8,3","20,2","1,999","11,0","12,0","2,999","4,999","19,2","8,999","12,1","9,1","5,0","15,1","4,3","14,1","14,2","24,2","2,999","17,3","25,4","13,3","15,0","13,2","19,2","3,999","5,4","5,4","7,0","14,4","7,0","16,2","5,999","11,0","7,0","11,0","0,999","7,2","13,1","8,4","4,1","5,0","8,999","5,1","3,0","15,2","5,3","4,0","3,2","2,2","19,2","4,1","3,4","8,3","8,2","6,3","22,999","5,3","10,0","22,3","7,2","4,1","5,3","7,0","7,999","10,1","18,3","9,4","14,2","3,4","3,999","12,3","12,0","4,3","10,4","13,0","1,999","10,0","3,999","7,3","3,999","1,0","3,3","9,4","5,4","7,0","2,999","7,2","0,999","14,4","8,2","3,999","16,1","11,2","3,4","11,3","29,3"
"19,4","16,2","3,999","15,4","16,999","17,0","9,4","0,999","8,0","1,999","20,1","5,999","11,0","9,999","9,1","7,2","12,2","14,2","7,1","19,2","8,2","20,4","14,1","7,0","18,3","5,0","13,3","6,3","6,4","11,1","12,1","31,0","36,4","17,2","28,4","10,4","14,2","5,3","1,999","9,4","7,3","6,2","3,1","7,4","9,1","11,2","4,1","2,3","11,4","7,4","10,4","9,0","13,999","11,2","2,999","10,2","5,999","18,4","11,1","5,2","17,1","12,3","4,999","7,0","3,999","6,0","13,1","1,999","9,2","8,2","3,999","7,1","5,999","13,1","2,2","17,1","8,1","11,2","3,999","9,1","0,999","2,999","4,2","11,2","12,4","9,3","3,4","1,999","17,3","21,0","3,999","38,0","12,3","2,999","16,3","12,4","5,999","4,2","10,3","7,3"
"7,4","3,0","7,999","11,1","10,1","2,2","17,1","16,4","8,2","14,3","21,999","16,2","5,3","26,1","6,3","15,0","12,4","11,0","3,999","1,999","9,3","15,0","21,1","15,1","20,3","5,3","22,3","29,0","16,2","7,2","7,1","9,2","1,999","10,2","6,3","21,2","3,4","14,3","3,2","6,0","9,2","3,4","25,4","1,999","12,2","14,4","16,0","13,4","15,1","8,1","8,3","4,2","11,3","25,4","10,2","8,0","20,0","7,2","16,3","11,3","0,999","3,999","9,4","8,4","9,1","9,999","12,2","6,999","2,999","4,0","8,1","13,1","7,999","6,2","4,1","24,1","22,4","1,999","16,0","6,4","7,3","8,0","6,4","4,999","3,999","12,4","9,2","10,1","6,1","3,0","13,4","14,2","8,3","14,3","9,4","16,1","8,2","13,3","1,999","29,1"
"3,999","8,4","11,3","18,2","12,2","7,999","18,3","6,2","3,999","12,1","14,2","15,0","18,4","9,1","4,4","9,4","12,4","4,1","4,2","21,2","9,2","15,3","0,999","13,0","1,999","10,0","6,4","4,0","2,999","13,1","2,999","8,4","4,999","0,999","3,3","7,4","14,2","1,999","13,2","25,1","8,4","9,0","13,3","11,4","3,999","20,3","21,0","14,2","4,999","1,999","3,999","7,1","8,1","20,2","10,1","8,999","2,999","11,999","30,3","14,2","25,0","15,2","25,0","8,0","12,2","19,1","10,3","7,3","1,999","7,3","12,1","5,0","6,4","6,1","2,999","14,999","19,4","10,1","1,999","2,999","6,4","7,1","9,2","13,1","4,0","1,999","7,3","10,3","7,1","9,0","20,2","13,0","4,1","20,4","12,3","7,3","13,3","7,0","6,0","7,3"
"10,1","13,4","0,999","3,1","2,999","4,999","6,999","13,0","3,999","4,0","23,0","9,2","5,999","8,0","11,4","7,0","8,1","5,1","3,999","6,1","17,3","7,1","5,2","0,999","13,3","2,999","13,3","6,2","8,1","6,3","22,4","0,999","11,2","5,1","10,1","4,3","11,0","11,1","6,0","6,2","6,2","4,999","11,3","1,999","11,4","5,1","2,0","9,3","8,2","10,3","17,1","3,999","13,3","8,4","3,999","19,3","9,999","3,3","4,3","16,2","4,999","2,999","17,2","2,2","1,999","5,3","11,2","16,999","2,999","32,1","3,999","4,2","21,4","12,1","13,0","0,999","18,3","10,999","2,999","18,999","17,3","4,0","21,0","11,1","3,4","1,999","9,4","33,1","15,3","1,999","18,999","25,2","12,2","23,0","10,3","4,999","12,2","11,1","15,0","1,2"
"14,0","14,3","10,2","24,999","10,3","20,1","12,1","8,0","1,3","1,999","9,4","19,1","9,0","3,1","3,3","12,3","5,1","8,999","10,999","18,4","2,999","3,999","5,1","8,999","2,999","11,3","8,1","29,2","9,4","9,0","8,2","13,2","6,2","6,2","10,1","23,3","8,3","25,999","1,2","4,1","11,1","9,4","8,3","8,2","12,2","7,999","4,999","1,999","20,4","16,0","9,999","0,999","0,999","3,1","12,1","6,2","3,999","3,999","14,4","4,999","1,999","10,4","11,1","31,3","3,999","7,999","7,1","8,1","10,999","13,2","6,3","10,0","12,0","4,999","0,999","1,999","6,2","18,0","12,4","11,1","20,3","1,999","14,4","27,0","6,3","4,999","10,999","6,4","6,999","10,1","15,3","8,0","5,2","40,3","6,2","10,0","5,0","16,3","1,0","2,999"
"10,4","2,999","30,4","7,3","10,4","14,1","35,4","6,1","24,4","9,2","11,4","2,999","1,999","2,0","5,4","9,0","10,0","22,2","21,0","17,999","4,999","27,4","24,4","29,3","5,999","6,2","8,4","14,3","8,3","25,2","8,3","24,3","7,999","3,1","4,0","8,0","3,2","10,1","1,999","4,1","8,2","6,999","7,999","1,999","5,0","7,3","3,999","13,4","1,999","8,0","18,2","6,1","7,0","12,1","1,999","8,3","8,3","3,3","1,999","24,2","1,999","21,1","8,0","14,1","15,2","21,4","21,2","4,4","11,4","14,2","5,999","10,0","7,0","5,999","7,1","3,0","8,999","13,1","8,0","1,999","19,1","10,2","4,4","5,999","4,999","4,3","10,2","17,2","1,2","6,2","9,999","14,1","4,999","7,1","20,3","7,4","6,999","44,3","9,1","8,4"
