# Arguments: kr_a=0.0625, kd_a=0.25, rep=100, it=100, relocation=0.0625, division=0.5, rows=20, cols=5, status=None, file_ID=17, delta_t=None
"28,999","8,4","5,4","14,999","16,2","45,0","8,1","1,999","21,2","14,0","34,0","11,999","2,999","9,999","1,999","9,1","8,1","8,999","14,0","4,999","26,999","30,999","8,999","16,1","9,1","8,999","4,999","15,999","29,1","48,1","6,1","18,2","4,999","10,0","19,4","17,1","8,999","38,999","16,999","7,999","34,999","16,4","42,0","2,999","16,1","2,999","18,4","7,999","1,999","28,999","17,1","41,999","3,999","3,999","12,3","5,999","9,999","0,999","6,999","18,999","38,1","11,2","13,1","19,4","4,999","25,1","8,2","6,999","13,0","13,2","29,999","13,999","31,4","10,999","2,999","18,2","8,2","30,0","35,4","13,4","51,0","0,999","39,4","6,2","0,999","8,999","2,999","45,2","33,4","7,1","14,0","0,999","21,0","16,999","8,999","14,2","6,3","16,0","23,3","1,999"
"5,3","20,3","23,3","10,999","2,999","2,999","18,999","5,999","18,2","3,999","21,1","14,2","24,2","6,1","23,0","8,0","6,999","2,999","1,999","12,3","2,999","9,999","0,999","15,999","38,0","7,999","6,2","19,999","17,999","12,3","43,4","0,999","15,999","24,4","20,1","3,999","46,1","10,0","10,999","12,999","25,3","38,0","0,999","2,999","19,2","18,1","11,2","5,999","19,2","4,2","5,999","3,999","15,3","1,999","5,999","7,999","9,999","5,999","5,999","10,999","10,999","21,2","1,999","17,999","21,999","1,999","13,3","0,999","14,4","2,999","11,0","34,0","31,2","20,0","14,999","20,2","3,999","7,4","15,2","13,2","1,999","9,999","5,999","12,999","3,999","12,0","7,3","7,999","8,999","7,999","5,999","9,1","13,0","23,1","9,3","3,999","27,999","7,999","15,1","10,2"
"25,4","7,1","26,1","22,1","33,999","13,999","21,2","63,2","24,3","9,999","9,0","7,999","1,999","9,2","1,999","3,999","19,4","7,999","34,999","23,0","2,999","12,3","21,4","7,999","45,2","4,999","23,3","27,2","10,1","2,0","2,999","18,0","23,3","13,0","19,2","8,999","55,0","36,4","29,4","21,2","13,0","3,999","8,1","23,2","13,2","32,999","23,3","13,999","4,999","18,999","12,4","2,999","20,4","18,2","10,4","10,3","4,999","10,0","26,2","3,999","27,2","4,999","7,999","7,999","6,999","3,0","2,999","2,999","3,999","11,2","3,999","4,999","2,999","7,999","13,3","44,3","5,999","0,999","18,2","9,0","5,999","2,999","9,4","2,999","14,3","1,999","12,4","8,4","4,999","4,999","28,999","42,0","18,999","12,0","56,3","5,999","12,999","15,999","9,3","5,999"
"1,999","29,3","6,999","12,0","9,3","4,4","7,999","6,999","40,4","12,4","38,4","12,0","3,999","15,3","5,999","3,4","21,4","14,3","3,999","24,3","51,3","25,3","10,0","0,999","5,999","23,2","24,0","16,3","4,999","5,1","22,999","3,999","1,999","2,999","15,999","7,999","24,4","3,999","11,999","14,999","11,1","2,999","0,999","14,1","4,999","16,1","12,1","51,1","20,4","5,0","10,0","10,1","23,999","2,999","1,999","10,1","6,1","1,999","4,999","19,2","36,0","20,2","3,999","7,0","40,4","0,999","9,0","5,999","30,0","25,3","5,999","45,4","41,1","12,999","3,999","33,0","11,999","25,4","18,1","20,0","37,999","6,999","20,1","71,0","11,2","12,999","14,3","8,999","3,999","30,0","19,2","9,999","13,2","14,999","0,999","28,2","29,2","41,2","21,4","9,0"
"33,4","0,999","21,999","1,999","9,3","15,3","7,999","20,2","6,1","5,999","3,999","7,999","18,0","3,3","5,999","8,1","9,999","29,1","0,999","6,999","42,2","0,999","1,999","10,1","2,999","3,999","23,1","1,999","56,2","7,999","8,3","5,3","6,0","23,1","21,999","24,1","1,999","3,999","13,0","1,999","9,2","10,999","1,999","15,1","5,0","23,1","7,2","11,1","4,999","12,2","5,999","12,2","21,2","3,999","13,4","1,999","9,0","31,1","17,4","3,999","28,999","3,999","5,3","31,999","17,2","6,999","14,1","14,2","18,3","17,4","3,999","9,1","18,1","25,1","2,999","1,999","31,2","9,1","13,1","9,999","71,4","0,999","11,0","1,999","0,999","21,0","26,0","42,2","17,4","3,999","20,999","13,4","2,999","37,2","22,1","23,3","13,0","11,2","14,3","31,4"
"4,999","13,3","14,999","7,1","31,1","17,999","7,999","9,2","6,999","19,0","7,0","40,4","8,3","44,4","27,3","3,999","9,2","4,999","12,3","15,3","38,1","21,3","29,3","34,2","1,999","0,999","12,999","10,999","9,3","8,3","16,4","2,999","5,3","16,999","5,4","0,999","1,999","27,0","3,999","11,2","43,3","7,999","27,2","31,4","17,0","1,999","1,999","7,2","7,999","32,2","2,999","14,3","3,999","23,0","7,999","20,999","5,1","10,1","4,3","11,0","35,1","7,999","5,4","13,1","4,999","7,2","23,3","11,1","22,1","4,999","9,4","33,3","5,999","8,999","15,3","5,999","16,999","44,3","23,1","4,999","7,999","21,4","23,999","21,4","2,999","17,1","1,999","28,4","14,999","12,3","1,999","7,999","28,1","28,1","9,999","11,2","4,999","9,999","12,1","2,999"
"1,999","32,3","16,2","0,999","2,999","5,999","2,999","8,0","14,3","6,3","17,4","33,2","26,0","6,999","10,0","48,0","19,1","26,999","42,0","12,1","7,4","3,999","5,999","55,1","14,4","12,2","3,0","19,0","17,0","1,999","13,4","1,999","30,3","3,999","2,999","3,999","10,3","3,999","9,3","7,999","8,999","4,999","21,3","14,3","9,2","9,3","14,999","8,999","17,0","2,999","5,999","2,4","37,3","4,999","3,999","17,3","23,3","35,999","9,999","3,999","26,2","22,4","17,3","36,2","13,3","9,1","2,999","2,999","17,0","2,999","22,2","17,3","11,2","24,0","4,999","10,0","4,999","18,2","10,3","22,0","13,2","25,0","9,4","5,999","7,999","19,999","3,999","6,999","37,0","47,4","25,3","24,0","4,999","11,999","2,999","1,999","1,999","2,999","10,0","24,3"
"12,0","13,1","21,4","3,999","34,0","44,3","14,1","11,3","10,999","21,999","6,999","23,4","12,999","16,0","4,999","26,999","26,1","34,3","14,999","8,4","29,2","6,999","6,999","24,3","7,3","7,999","21,4","11,3","25,3","32,0","12,1","12,2","5,999","11,4","11,999","50,4","5,999","18,3","19,3","5,999","31,1","8,3","33,3","14,999","19,1","15,1","1,999","16,999","13,2","13,0","36,0","8,4","8,999","18,3","7,4","15,999","7,0","11,1","9,0","12,3","10,2","2,999","9,1","3,999","6,3","20,999","15,4","3,999","3,999","13,1","13,2","2,999","1,999","1,999","31,999","6,0","5,999","13,0","6,999","6,0","9,999","10,3","9,3","27,0","19,1","2,999","21,999","1,999","8,1","33,999","25,3","8,999","11,1","2,999","12,4","30,2","1,999","18,4","0,999","14,2"
"18,2","8,999","3,999","22,3","2,999","1,999","15,3","9,999","6,0","9,999","32,0","25,999","24,0","12,4","3,999","7,999","8,999","13,999","1,999","17,2","15,2","12,0","8,999","19,0","2,999","4,999","24,1","20,999","9,999","20,0","16,0","1,999","19,3","27,2","7,999","14,1","21,999","7,999","8,999","12,2","3,999","7,4","23,0","5,999","15,4","9,3","5,999","18,1","8,999","15,1","23,0","11,1","2,999","31,1","7,999","15,2","2,999","5,999","25,1","2,999","3,999","28,0","2,999","18,3","9,0","1,999","11,1","23,3","22,2","41,1","24,3","49,3","4,999","7,999","2,999","0,999","26,1","3,999","3,999","22,999","26,4","6,999","5,999","5,999","11,1","21,999","1,999","24,1","45,1","7,999","29,999","17,2","2,999","2,999","18,0","17,3","14,1","18,3","23,0","22,3"
"22,0","13,2","1,999","9,3","2,999","23,2","41,999","0,999","3,999","27,4","23,1","1,999","31,3","63,0","31,4","14,999","1,999","20,4","17,999","1,999","7,999","20,4","8,3","20,2","17,3","44,1","6,999","13,1","11,999","3,999","9,999","19,999","24,2","1,999","6,0","0,999","23,4","6,999","28,1","10,999","31,3","39,3","17,2","21,2","33,2","6,999","12,4","15,4","10,999","1,999","13,2","40,0","4,999","11,0","31,4","34,2","7,999","24,0","3,1","0,999","38,999","8,4","23,999","7,999","2,999","15,0","11,1","4,999","30,0","3,999","20,3","1,999","3,999","64,999","2,999","1,999","8,999","8,1","5,1","39,1","33,3","21,1","6,4","3,999","7,999","15,1","29,3","16,2","22,3","3,3","37,0","7,999","1,999","12,0","7,999","10,999","0,999","30,2","2,999","56,1"
