# Arguments: kr_a=0.0625, kd_a=0.25, rep=100, it=100, relocation=0.0625, division=0.83, rows=20, cols=5, status=None, file_ID=9, delta_t=None
"23,1","10,0","15,0","17,0","7,4","12,2","11,2","42,3","15,3","6,3","5,1","17,999","5,0","8,0","9,1","11,3","19,3","16,2","19,0","0,999","25,999","2,999","0,999","10,4","11,4","2,3","19,999","6,3","24,3","10,1","14,2","8,0","13,3","6,2","5,1","6,0","10,3","19,4","1,999","6,2","3,3","7,2","8,1","16,0","7,4","18,999","1,999","10,1","9,0","12,2","4,2","13,0","5,4","5,999","22,999","7,0","2,999","6,2","6,0","26,1","9,3","13,3","1,999","19,2","8,4","1,999","11,1","7,3","7,4","8,2","10,2","6,2","8,1","11,3","11,2","8,2","19,4","5,3","0,999","11,0","7,2","6,0","2,999","7,4","6,3","22,4","11,4","2,999","10,1","4,999","21,2","6,3","7,2","6,999","12,1","10,1","18,3","27,2","25,1","23,2"
"3,999","13,0","4,999","8,2","5,1","12,1","3,999","9,999","6,3","5,2","13,3","8,4","17,0","4,2","11,999","14,4","21,0","12,4","11,4","9,4","8,3","12,0","18,1","9,2","2,999","10,3","12,999","3,3","8,4","9,4","7,4","28,3","3,999","13,3","7,4","9,2","7,3","11,2","10,3","6,4","11,0","4,999","24,1","14,4","10,4","10,1","7,1","4,999","7,999","4,2","6,2","19,0","7,4","11,0","17,4","7,3","1,999","5,2","6,1","8,4","1,999","11,1","13,0","6,4","7,2","6,999","2,999","1,999","7,1","5,0","5,2","9,3","11,999","2,3","1,2","1,999","5,3","1,999","2,999","13,3","4,1","5,999","28,2","2,999","2,1","5,2","8,999","1,999","4,2","7,999","14,2","8,1","7,0","16,2","4,0","6,1","12,4","0,1","3,0","6,2"
"9,3","7,0","12,1","10,3","3,1","6,4","2,999","13,1","21,0","10,2","9,4","19,4","2,999","22,1","3,4","7,0","3,0","9,0","14,2","7,3","5,1","12,1","6,0","11,999","5,999","27,0","18,1","10,1","4,0","7,999","14,1","14,1","0,999","22,1","15,1","6,999","16,1","5,1","19,0","9,999","24,1","5,1","8,4","20,2","7,1","13,1","10,1","25,1","33,4","11,0","9,3","11,1","12,2","12,4","14,2","4,999","2,999","1,999","12,4","5,3","14,1","3,0","5,4","0,999","11,4","17,3","15,4","1,999","2,2","6,2","6,999","14,3","0,999","3,2","7,3","6,2","13,3","6,999","34,4","10,0","19,1","4,3","20,2","5,2","1,999","13,999","4,999","4,999","13,3","15,4","9,3","8,2","6,1","4,0","8,4","15,2","22,2","10,0","3,999","10,4"
"19,3","15,2","14,0","14,3","12,2","9,3","13,3","12,4","8,4","23,1","9,2","11,999","7,2","15,4","7,2","23,4","6,2","4,999","6,2","8,999","7,0","6,0","0,999","7,0","9,2","7,0","7,1","12,0","15,0","10,4","9,2","3,4","6,0","0,999","10,3","8,2","3,3","28,1","18,2","8,0","17,1","15,2","1,999","1,2","22,3","2,2","22,1","8,2","4,999","9,2","6,1","9,999","7,0","16,999","12,3","17,4","10,2","2,999","6,999","0,999","4,999","5,2","5,3","7,0","5,4","13,2","14,3","8,4","17,2","10,4","23,3","19,2","7,3","11,2","9,1","14,2","4,0","15,999","21,4","12,2","12,3","11,1","17,4","23,999","7,1","2,999","6,0","20,4","10,4","3,999","5,3","12,0","5,2","4,1","5,999","3,3","9,1","4,1","4,4","17,3"
"16,0","8,4","4,0","6,2","10,0","5,999","3,3","21,0","2,3","27,1","15,3","2,999","27,0","14,4","5,999","13,0","6,0","19,999","8,2","10,3","3,3","18,1","4,999","1,999","1,1","8,4","18,3","6,1","9,1","4,3","9,4","13,3","23,0","10,0","7,3","5,3","10,3","6,2","37,999","9,4","1,999","16,4","11,1","5,2","9,3","7,999","9,4","14,2","8,4","6,2","1,999","0,999","12,0","7,2","16,4","4,999","10,2","21,1","3,999","14,3","6,999","25,1","16,4","14,1","19,4","22,3","6,0","33,4","9,0","3,999","18,1","16,2","6,2","5,0","3,1","2,999","9,4","1,999","9,999","3,3","3,0","3,999","22,2","17,4","2,999","12,3","9,4","29,3","3,4","8,2","3,4","15,2","11,3","15,2","11,0","12,4","7,2","4,999","7,1","8,2"
"3,999","21,999","19,0","1,999","4,3","12,0","2,0","11,1","3,0","13,1","27,1","7,999","17,0","11,2","26,4","14,0","27,4","1,999","9,4","10,0","11,0","12,4","6,3","7,2","13,2","17,1","8,2","18,0","18,3","9,999","23,4","20,0","2,4","4,1","11,2","4,999","5,3","40,999","1,4","6,4","12,2","20,4","5,1","7,3","9,999","6,4","4,3","23,1","0,999","16,1","8,1","24,3","10,4","2,999","8,2","10,3","7,999","7,0","14,0","18,0","9,1","6,0","6,2","13,999","34,1","7,0","14,1","20,1","21,0","16,999","4,1","1,999","3,2","4,999","3,999","3,1","15,4","2,999","3,999","8,2","5,2","30,1","12,1","10,4","3,3","7,3","20,4","6,999","2,999","3,999","14,1","8,2","7,1","24,2","5,4","13,4","10,0","4,2","25,3","3,999"
"15,1","4,3","10,0","2,1","6,0","5,1","6,999","10,0","17,0","25,2","8,1","30,4","0,999","5,4","8,4","13,2","12,3","1,999","16,4","3,2","3,4","17,4","5,4","0,999","5,2","23,0","9,2","1,999","7,2","8,1","23,2","1,999","5,999","13,3","2,999","4,4","7,2","3,3","13,2","11,2","5,4","3,999","9,3","8,1","3,999","5,0","0,999","14,2","15,1","13,3","12,2","5,0","5,1","3,3","10,1","21,1","1,999","3,999","4,999","5,2","5,999","21,0","6,3","32,4","1,999","6,0","21,1","9,2","21,0","1,0","12,4","13,0","15,2","9,4","6,2","3,1","1,999","12,3","21,1","6,3","12,0","20,4","6,2","17,3","6,0","9,2","9,999","5,0","3,3","6,3","10,2","4,4","11,3","17,0","5,999","3,0","1,999","18,0","10,4","10,1"
"3,0","11,4","2,999","25,1","20,1","19,1","8,1","3,999","5,4","13,2","4,1","24,4","8,2","14,3","5,2","10,999","0,999","8,4","2,999","5,3","10,2","22,0","3,0","11,4","5,999","27,999","9,3","5,2","2,999","6,1","3,999","6,0","7,4","5,3","7,1","7,4","1,999","15,4","4,1","1,999","8,1","7,4","8,1","7,2","19,3","1,999","11,1","33,0","8,4","2,2","4,0","8,999","8,999","11,2","33,1","6,999","6,2","10,4","8,4","0,999","2,0","14,1","15,0","3,2","0,999","8,1","8,4","2,3","6,1","9,3","9,1","22,4","10,999","2,999","10,1","17,3","26,1","19,1","16,0","3,999","1,0","7,4","8,1","3,1","3,3","8,0","23,2","11,1","18,2","27,1","5,1","2,999","16,0","16,0","3,999","7,999","30,2","17,3","12,4","1,999"
"1,999","9,4","13,2","4,2","1,999","17,0","11,4","5,3","8,4","14,0","6,999","2,999","9,4","17,0","8,4","9,4","2,999","4,999","9,2","27,3","6,4","1,999","4,999","2,4","19,2","15,4","16,0","8,999","36,1","13,1","18,2","15,999","15,2","13,3","12,0","4,4","12,3","27,2","10,4","7,0","2,999","0,999","13,3","1,999","11,3","5,3","0,999","1,999","7,2","15,4","4,4","10,3","6,3","1,999","0,999","8,3","8,4","0,999","9,999","10,999","8,1","4,999","8,0","15,999","6,999","21,4","8,3","5,4","2,1","9,4","17,4","22,3","13,4","6,1","11,4","11,3","17,0","6,0","16,0","49,2","10,2","1,999","11,1","11,3","0,999","30,4","18,3","3,1","11,4","22,4","3,4","11,2","15,4","12,4","13,4","13,4","12,1","9,1","8,0","2,999"
"7,0","7,1","3,999","9,2","33,0","5,4","8,2","9,999","11,4","2,999","4,3","1,999","13,1","12,999","9,0","21,0","10,2","12,3","5,3","6,0","6,2","14,3","8,999","11,2","10,4","19,0","1,999","19,4","0,999","1,999","8,0","2,999","21,4","12,4","3,999","13,2","19,4","6,0","12,999","7,999","2,999","10,0","4,999","10,2","3,4","1,999","10,2","10,4","3,999","7,999","3,2","3,1","12,0","4,999","2,999","14,4","12,2","3,999","10,2","9,0","15,4","9,1","21,0","13,3","14,4","8,1","9,2","5,0","2,2","5,4","7,999","8,0","39,3","9,4","3,999","7,999","5,1","12,1","15,3","11,4","6,4","12,1","15,2","31,0","22,999","8,1","17,2","17,2","18,3","8,0","23,1","3,999","5,999","1,999","5,2","17,0","4,2","1,999","5,999","9,4"
