# Arguments: kr_a=0.0525, kd_a=0.21, rep=100, it=100, relocation=0.0525, division=0.21, rows=20, cols=5, status=None, file_ID=8, delta_t=None
"7,999","37,3","9,999","20,2","4,999","5,999","28,0","6,999","0,999","3,999","30,3","2,999","23,999","29,1","56,999","19,999","14,3","4,999","0,999","15,999","2,999","4,999","1,999","0,999","4,999","3,999","0,999","13,999","62,4","10,999","51,999","3,999","1,999","1,999","3,999","5,999","2,999","10,999","12,1","20,3","10,999","7,999","5,999","2,999","2,999","8,999","4,999","17,0","30,999","2,999","17,999","3,999","1,999","4,999","8,999","21,999","0,999","5,999","54,1","1,999","0,999","11,1","13,999","1,999","0,999","1,999","51,999","52,2","4,999","29,999","0,999","3,999","4,999","12,999","0,999","2,999","2,999","2,999","29,999","2,999","0,999","8,999","0,999","1,999","7,999","2,999","3,999","4,999","3,999","1,999","65,4","7,999","1,999","12,999","3,999","53,999","0,999","13,999","3,999","4,999"
"38,999","10,999","7,999","1,999","19,1","4,999","3,999","1,999","11,999","29,3","0,999","1,999","2,999","62,4","1,999","17,3","3,999","2,999","12,999","9,999","0,999","0,999","3,999","2,999","4,999","0,999","4,999","8,999","15,999","1,999","4,999","3,999","0,999","22,2","0,999","2,999","15,999","15,3","39,999","1,999","4,999","4,999","3,999","16,999","53,3","16,999","29,999","1,999","64,999","0,999","1,999","2,999","5,999","11,999","4,999","24,999","5,999","5,999","7,999","28,999","109,999","0,999","4,999","2,999","26,2","5,999","4,999","0,999","0,999","13,999","1,999","3,999","3,999","0,999","1,999","1,999","14,999","4,999","0,999","0,999","35,999","57,999","108,999","5,999","1,999","16,999","1,999","1,999","6,999","22,2","3,999","1,999","16,999","6,999","3,999","6,999","2,999","3,999","9,999","1,999"
"0,999","4,999","11,999","14,0","2,999","21,4","0,999","0,999","0,999","18,0","0,999","4,999","14,999","8,999","7,999","0,999","0,999","1,999","30,999","0,999","29,3","4,999","1,999","10,3","5,999","3,999","13,999","0,999","30,999","16,999","0,999","1,999","2,999","1,999","8,999","4,999","1,999","3,999","2,999","9,999","5,999","28,999","4,999","4,999","10,1","11,999","1,999","1,999","5,999","10,999","9,999","0,999","33,0","62,999","10,999","0,999","1,999","1,999","4,999","10,999","1,999","8,999","1,999","0,999","5,999","20,999","2,999","9,1","11,999","11,999","28,999","16,999","4,999","10,999","24,3","31,999","16,999","16,999","7,999","25,3","0,999","41,999","2,999","1,999","8,999","71,0","0,999","17,999","0,999","10,999","2,999","0,999","3,999","17,999","4,999","12,0","1,999","50,4","3,999","31,999"
"0,999","2,999","0,999","11,999","10,999","14,4","1,999","10,999","6,999","2,999","3,999","1,999","64,4","65,999","1,999","3,999","0,999","0,999","23,999","0,999","0,999","2,999","2,999","13,999","15,999","14,999","36,2","0,999","0,999","2,999","10,999","11,999","25,999","1,999","0,999","0,999","7,999","0,999","0,999","1,999","31,0","3,999","0,999","37,999","8,999","0,999","0,999","2,999","0,999","12,999","0,999","14,999","7,999","4,999","2,999","18,4","35,999","0,999","10,999","2,999","4,999","3,999","25,999","77,999","0,999","1,999","26,0","6,999","3,999","12,999","4,999","3,999","12,999","6,999","2,999","3,999","88,999","6,999","14,999","12,999","1,999","39,1","14,999","24,999","3,999","48,3","1,999","27,999","7,999","30,1","2,999","33,999","2,999","0,999","16,999","1,999","32,2","1,999","6,999","59,4"
"3,999","1,999","9,999","18,999","28,4","0,999","1,999","20,999","19,3","1,999","51,3","0,999","1,999","1,999","71,999","9,0","41,999","6,999","14,999","43,999","4,999","8,999","1,999","8,999","13,999","30,999","0,999","4,999","0,999","30,0","2,999","3,999","24,1","5,999","28,999","0,999","1,999","2,999","52,4","0,999","2,999","3,999","0,999","11,999","2,999","34,999","41,3","4,999","5,999","18,999","2,999","0,999","27,2","0,999","6,999","5,999","1,999","3,999","1,999","2,999","33,999","2,999","6,999","0,999","7,999","1,999","0,999","13,999","2,999","24,999","2,999","5,999","6,999","17,999","72,1","70,4","127,999","1,999","92,999","4,999","0,999","1,999","2,999","6,999","1,999","0,999","17,999","3,999","1,999","0,999","75,3","0,999","0,999","6,999","5,999","18,3","5,999","1,999","2,999","3,999"
"13,999","19,999","2,999","7,1","25,2","0,999","2,999","1,999","3,999","5,999","3,999","0,999","5,999","59,4","8,999","1,999","7,999","0,999","1,999","77,999","0,999","5,999","1,999","0,999","7,999","24,1","7,2","11,999","45,999","6,999","14,999","4,999","17,999","0,999","23,0","3,999","7,999","15,999","45,1","12,999","5,999","23,999","0,999","10,999","2,999","5,999","0,999","3,999","5,999","0,999","73,4","1,999","33,999","4,999","0,999","31,999","2,999","0,999","28,3","36,999","13,4","37,999","0,999","2,999","2,999","4,999","1,999","9,999","8,999","12,999","50,4","6,999","4,999","21,999","14,999","29,4","2,999","83,999","11,999","1,999","0,999","4,999","1,999","18,999","0,999","9,999","2,999","20,999","2,999","0,999","7,999","11,999","0,999","6,999","1,999","9,999","6,999","36,0","8,999","15,999"
"3,999","7,999","0,999","1,999","9,999","38,999","6,999","1,999","3,999","21,2","18,999","1,999","0,999","30,2","12,999","58,4","15,999","1,999","17,999","3,999","1,999","5,999","11,999","0,999","12,999","2,999","3,999","1,999","1,999","2,999","3,999","33,999","20,999","19,999","34,4","2,999","3,999","1,999","3,999","0,999","2,999","0,999","4,999","0,999","6,999","31,4","39,4","51,999","35,999","3,999","3,999","50,999","10,999","6,999","0,999","6,999","13,1","8,999","39,999","6,999","28,999","19,999","5,999","2,999","1,999","0,999","4,999","3,999","3,999","1,999","6,999","8,999","23,0","0,999","4,999","6,999","0,999","4,999","0,999","2,999","1,999","4,999","1,999","1,999","44,0","18,999","0,999","7,999","25,999","0,999","4,999","6,999","30,999","1,999","23,999","0,999","15,999","1,999","3,999","5,999"
"0,999","0,999","59,3","1,999","11,999","0,999","0,999","43,999","5,999","5,999","1,999","1,999","1,999","4,999","2,999","0,999","0,999","20,999","9,999","5,999","2,999","4,999","13,2","54,0","28,999","8,999","6,999","0,999","9,999","8,999","6,999","7,3","7,999","2,999","4,999","12,999","39,4","3,999","75,999","11,999","8,999","21,0","5,999","16,999","6,999","57,3","0,999","77,999","17,999","4,999","21,999","8,999","0,999","0,999","37,999","1,999","2,999","44,2","2,999","0,999","5,999","18,999","19,3","64,999","22,4","40,2","5,999","6,999","0,999","1,999","23,3","4,999","0,999","24,999","19,999","18,999","11,999","1,999","1,999","51,999","28,4","4,999","19,999","2,999","1,999","3,999","1,999","2,999","0,999","3,999","1,999","102,4","6,999","15,999","14,3","5,999","14,999","50,999","2,999","15,999"
"4,999","9,999","5,999","31,999","0,999","36,3","3,999","2,999","7,999","23,3","2,999","69,999","43,0","0,999","38,0","104,999","2,999","16,999","18,999","4,999","0,999","33,999","2,999","75,999","4,999","1,999","1,999","8,999","72,999","19,999","49,999","5,999","2,999","1,999","1,999","50,3","0,999","24,1","2,999","14,999","52,999","32,999","40,1","20,999","1,999","17,999","13,3","6,999","7,999","19,999","1,999","4,999","46,3","14,999","2,999","3,999","9,999","33,999","14,999","1,999","4,999","40,999","57,999","11,999","66,999","1,999","26,999","1,999","25,999","8,999","1,999","8,999","0,999","18,999","2,999","3,999","0,999","22,999","1,999","3,999","0,999","34,3","11,999","41,3","15,999","7,999","12,999","2,999","42,0","28,3","1,999","22,0","2,999","13,999","41,2","5,999","0,999","5,999","6,999","1,999"
"45,0","39,2","1,999","0,999","5,999","2,999","1,999","1,999","3,999","0,999","8,999","16,0","23,999","0,999","1,999","1,999","8,999","9,999","5,999","3,999","6,999","16,999","1,999","3,999","9,999","5,999","11,999","9,999","0,999","1,999","13,999","18,0","0,999","1,999","3,999","4,999","1,999","1,999","34,0","11,999","18,999","137,999","8,999","0,999","2,999","0,999","2,999","3,999","18,2","0,999","23,3","23,4","0,999","27,0","3,999","0,999","13,2","5,999","11,999","0,999","51,999","3,999","4,999","29,1","2,999","8,999","1,999","0,999","7,999","1,999","2,999","4,999","0,999","1,999","0,999","6,999","1,999","0,999","4,999","2,999","1,999","3,999","4,999","4,999","2,999","1,999","5,999","2,999","30,999","2,999","54,999","9,999","4,999","9,999","11,999","0,999","12,0","6,999","0,999","0,999"
