# Arguments: kr_a=0.0625, kd_a=0.25, rep=100, it=100, relocation=0.125, division=0.5, rows=20, cols=5, status=None, file_ID=7, delta_t=None
"12,999","0,999","5,999","20,1","8,999","26,0","50,999","1,999","20,4","27,3","9,4","16,2","1,999","29,0","33,0","23,999","4,999","23,1","9,3","18,0","17,2","10,999","9,0","22,1","9,999","1,999","10,2","2,999","7,0","10,999","16,4","2,999","9,999","21,2","14,0","8,999","12,999","25,0","29,0","3,999","10,4","4,0","3,999","20,1","4,999","6,999","40,1","1,999","2,999","12,0","5,999","24,2","12,3","4,2","40,1","4,2","4,999","1,999","6,1","3,999","2,999","28,1","25,999","8,4","22,999","11,2","10,999","7,999","3,999","18,2","3,1","10,4","20,0","8,999","1,999","21,3","0,999","15,999","15,999","19,4","10,999","5,999","62,0","17,2","26,4","9,0","1,999","8,999","8,1","0,999","2,999","40,0","7,999","0,999","4,999","9,3","31,2","12,4","1,999","3,999"
"2,999","13,999","3,3","11,999","2,999","22,4","31,1","17,999","32,0","12,3","4,999","14,999","22,999","5,999","11,999","11,0","39,3","12,0","6,999","42,3","8,999","29,3","24,1","0,999","25,1","7,3","27,4","1,999","28,3","4,999","8,999","48,1","14,2","5,999","7,999","2,999","9,999","3,999","17,2","3,0","5,999","19,1","22,4","2,999","6,999","49,1","20,1","22,1","1,999","39,1","3,999","30,4","0,999","8,999","15,2","44,3","12,999","6,999","16,1","3,999","6,999","8,0","1,999","14,1","10,999","23,2","7,2","6,0","5,999","3,999","13,999","2,999","2,999","0,999","0,999","30,0","20,999","0,999","5,999","3,999","16,2","8,999","1,999","30,3","11,0","15,2","9,0","10,4","7,999","11,1","5,999","3,999","6,2","18,3","8,999","11,1","9,999","5,999","8,2","8,4"
"3,999","6,999","30,3","0,999","7,999","5,999","11,0","46,1","44,3","45,0","10,2","7,2","11,999","9,4","5,3","16,4","20,1","1,999","0,999","6,999","22,4","4,999","8,999","26,4","3,999","18,999","20,999","12,2","10,2","9,1","25,999","15,2","8,2","12,1","22,2","2,999","6,1","64,1","16,3","25,0","26,999","41,2","11,0","1,0","5,999","2,999","36,2","4,1","7,0","29,3","32,4","29,4","3,999","10,999","5,1","13,3","19,0","6,999","1,999","5,999","30,3","50,3","37,4","6,4","1,999","29,1","15,1","12,3","0,999","6,0","18,0","2,999","4,999","5,2","2,999","2,999","6,4","22,4","10,3","3,999","22,2","17,3","12,4","23,0","14,2","32,4","16,2","10,4","12,1","8,999","3,999","8,999","21,3","5,4","24,2","27,4","8,999","18,2","8,0","3,999"
"13,0","48,2","9,2","7,999","28,1","10,1","44,1","14,3","5,999","12,0","41,4","8,999","9,1","6,999","13,4","24,4","33,4","6,999","2,999","12,3","5,999","19,1","17,1","35,999","30,0","7,999","10,999","42,4","15,0","5,999","33,0","21,999","19,3","34,0","13,1","19,2","14,2","7,3","6,999","30,3","11,0","16,999","8,1","29,4","18,4","13,2","26,3","4,999","3,999","9,2","15,2","1,999","0,999","18,4","5,999","33,1","19,2","33,999","11,1","4,4","5,999","2,999","3,999","7,4","48,3","14,3","13,3","11,999","8,3","7,999","17,999","17,3","21,1","22,1","14,1","4,999","21,1","1,999","2,999","1,999","2,999","5,0","13,3","11,999","17,3","9,0","2,999","19,2","0,999","6,4","3,999","9,999","35,4","29,999","23,1","5,999","13,4","2,999","31,0","8,0"
"38,0","8,999","6,999","6,999","6,999","33,1","31,2","3,999","39,1","27,999","37,999","11,3","0,999","10,4","13,999","1,999","21,1","0,999","14,4","42,999","3,999","33,3","14,2","13,999","21,0","7,999","1,999","36,3","7,999","3,999","10,3","12,999","1,999","5,999","3,999","20,0","6,999","6,3","37,0","0,999","1,999","36,2","5,999","18,2","5,999","19,2","15,0","2,999","2,999","0,999","13,2","4,999","2,999","2,999","31,2","3,999","38,2","43,1","18,2","9,999","5,999","7,4","8,3","0,999","10,2","3,999","8,1","4,999","11,1","30,2","5,999","9,999","19,0","34,2","13,999","13,2","51,4","16,0","16,2","21,3","20,1","9,2","1,999","36,3","1,999","14,4","4,999","5,999","9,0","10,2","6,999","1,999","30,4","4,999","11,0","24,3","11,999","39,0","4,999","7,3"
"19,3","4,999","6,999","17,999","7,2","3,999","17,1","28,2","16,4","9,999","4,999","10,999","5,0","9,4","7,999","34,2","9,999","8,4","18,999","9,4","0,999","31,2","15,1","3,999","2,999","3,999","28,2","6,4","18,999","5,999","34,4","16,999","31,1","41,0","17,999","16,1","14,2","29,4","21,4","32,4","27,999","9,999","30,2","26,999","2,999","32,4","2,999","11,999","6,999","10,999","21,2","17,999","14,999","28,2","25,4","30,4","9,999","9,3","2,999","11,4","45,999","25,3","35,2","10,4","12,3","22,4","7,999","2,999","26,1","1,999","2,999","18,3","12,3","30,2","57,0","6,999","8,2","19,4","21,2","0,999","7,1","22,2","8,999","6,1","2,999","16,999","13,2","19,2","27,3","32,3","25,3","3,999","9,4","14,4","16,0","32,2","2,999","7,999","8,0","15,1"
"14,999","10,3","27,4","14,4","17,0","9,0","5,999","47,999","10,3","37,0","12,999","18,3","2,999","22,3","2,999","8,4","41,999","9,1","10,4","10,999","5,999","1,999","64,4","3,4","48,1","60,0","19,0","7,1","33,1","30,4","7,4","8,999","25,4","10,999","20,0","3,999","17,1","5,0","11,4","23,4","22,2","14,999","13,999","5,999","11,4","16,0","3,999","14,999","8,1","15,3","13,999","21,0","11,3","3,1","7,3","0,999","3,999","13,999","6,0","5,1","20,1","19,0","21,4","42,4","4,999","29,0","19,4","13,2","3,999","1,999","7,999","16,999","6,4","2,999","6,999","31,4","21,999","1,999","2,2","17,999","13,4","8,2","19,3","0,999","0,999","22,4","4,1","4,999","12,999","6,999","20,4","5,4","10,999","27,4","2,999","13,1","8,999","8,999","1,999","17,3"
"29,1","2,999","3,999","16,1","8,999","22,3","18,1","1,999","17,0","20,3","3,999","46,0","5,999","2,2","1,999","2,999","15,4","24,999","22,2","13,2","7,999","7,0","7,999","2,999","15,4","13,999","21,3","28,999","10,999","28,999","4,999","37,4","20,3","4,999","8,999","16,3","23,999","26,2","1,999","2,999","11,0","0,999","4,999","23,2","16,0","58,3","0,999","8,0","1,999","5,999","0,999","43,999","0,999","4,999","3,999","45,1","16,0","9,999","0,999","34,4","0,999","30,2","28,3","4,999","8,4","9,4","31,999","30,1","13,4","11,3","15,0","19,3","31,999","14,999","17,2","40,4","38,2","9,1","19,4","18,3","20,1","2,2","34,0","9,1","10,1","3,0","9,3","7,999","11,999","27,1","11,2","10,4","39,4","15,4","4,4","11,0","0,999","3,999","8,4","32,3"
"15,0","0,999","8,999","5,1","14,0","7,999","10,999","10,1","8,999","19,2","13,2","24,2","12,3","28,4","10,1","8,1","2,999","15,2","20,2","11,3","7,1","30,1","12,4","1,999","5,999","8,999","2,999","36,4","20,2","55,0","9,2","11,3","17,4","13,2","14,999","26,0","11,2","8,4","10,1","19,0","9,999","7,4","1,999","2,999","14,0","26,3","1,999","14,3","1,999","2,999","20,0","0,999","9,0","5,999","8,999","10,2","6,999","29,2","20,999","39,999","17,999","25,1","47,3","7,999","21,999","12,999","18,999","6,3","0,999","26,0","18,2","18,999","8,3","2,999","10,999","3,999","3,999","20,1","5,999","0,999","27,1","3,999","3,999","20,3","4,999","15,0","16,2","42,1","23,4","19,1","2,999","22,2","46,1","14,1","8,3","1,999","5,999","2,999","33,2","2,999"
"4,999","4,3","29,4","2,999","13,4","0,999","4,999","18,999","5,999","24,2","3,999","2,999","5,999","27,1","11,999","3,999","15,0","27,3","37,0","5,999","0,999","4,0","17,999","47,4","24,0","27,1","20,0","26,3","6,999","29,3","4,999","9,999","25,4","39,3","12,999","10,0","10,1","16,1","2,999","17,0","9,999","20,1","36,3","15,4","3,999","13,999","5,2","4,999","0,999","7,999","28,2","2,999","19,3","22,3","3,999","15,3","1,999","19,4","13,1","9,999","17,0","29,4","5,2","49,3","22,3","7,999","13,0","18,4","1,999","8,0","11,1","13,2","2,999","47,2","2,999","1,999","34,2","7,2","0,999","2,999","7,999","13,999","17,1","3,999","32,1","7,999","34,3","12,999","5,999","23,999","17,3","4,3","17,2","13,999","3,999","19,1","51,0","3,999","13,0","30,999"
