# Arguments: kr_a=0.0525, kd_a=0.21, rep=10, it=100, relocation=None, division=None, rows=20, cols=5, status=None, file_ID=25, delta_t=None
"16,999","20,3","57,4","4,999","34,999","2,999","10,999","0,999","4,999","21,999","9,999","3,999","36,1","19,999","0,999","11,999","16,999","18,999","0,999","11,999","47,3","36,999","4,999","15,999","0,999","5,999","4,999","12,999","1,999","3,999","1,999","19,999","2,999","0,999","30,999","2,999","72,1","0,999","52,1","5,999","0,999","1,999","4,999","6,999","7,999","0,999","9,999","8,999","28,999","30,999","14,999","9,999","1,999","4,999","0,999","4,999","16,999","15,999","2,999","0,999","10,999","6,999","4,999","17,999","16,999","6,999","23,999","38,999","4,999","8,999","4,999","3,999","46,999","0,999","28,2","24,999","4,999","8,3","1,999","2,999","0,999","14,999","58,999","33,999","1,999","0,999","0,999","10,999","31,999","0,999","36,999","38,4","1,999","10,999","2,999","0,999","2,999","3,999","4,999","6,999"
"110,0","0,999","1,999","1,999","19,999","8,999","20,999","5,999","3,999","3,999","12,999","7,999","3,999","5,999","3,999","0,999","51,999","0,999","22,2","2,999","0,999","0,999","0,999","1,999","2,999","35,0","4,999","8,999","4,999","5,999","2,999","15,999","0,999","11,999","8,999","1,999","26,2","4,999","62,2","11,4","6,999","9,999","13,999","3,999","0,999","9,999","0,999","13,4","11,999","11,999","27,999","9,999","27,999","0,999","47,2","10,999","0,999","2,999","4,999","21,999","5,999","0,999","3,999","26,2","15,999","22,999","61,999","8,999","24,999","4,999","3,999","1,999","5,999","0,999","2,999","31,4","8,999","16,999","9,999","8,999","2,999","11,999","9,999","8,999","46,4","1,999","63,3","1,999","36,1","0,999","1,999","2,999","11,999","12,999","5,999","2,999","3,999","13,999","1,999","3,999"
"0,999","60,2","21,999","4,999","2,999","41,2","10,999","25,999","5,999","6,999","13,999","45,2","32,999","4,999","11,999","19,999","8,999","5,999","4,999","7,999","1,999","16,999","5,999","11,999","14,999","35,3","45,999","63,999","47,0","0,999","21,4","10,999","94,3","4,999","17,999","55,4","10,999","89,1","1,999","6,999","11,999","3,999","35,0","6,999","5,999","34,999","2,999","0,999","11,999","4,999","4,999","68,4","13,999","37,999","33,999","25,1","4,999","2,999","0,999","0,999","3,999","3,999","19,999","11,999","1,999","4,999","28,4","0,999","138,2","4,999","99,4","1,999","13,999","3,999","2,999","0,999","1,999","66,999","13,999","14,999","9,999","1,999","26,999","4,999","1,999","0,999","0,999","0,999","9,999","9,999","3,999","1,999","2,999","1,999","3,999","3,999","19,999","40,0","6,999","4,999"
"1,999","21,999","9,999","7,999","2,999","1,999","9,999","1,999","0,999","44,999","0,999","16,999","8,999","4,999","1,999","25,999","6,999","6,999","11,999","2,999","6,999","5,999","47,3","1,999","3,999","12,2","1,999","4,999","38,0","0,999","5,999","25,999","0,999","1,999","2,999","0,999","0,999","11,999","4,999","0,999","0,999","1,999","7,999","4,999","6,999","2,999","0,999","7,999","3,999","15,999","0,999","0,999","2,999","50,2","10,999","1,999","17,999","1,999","4,999","0,999","19,999","10,999","6,999","8,999","1,999","8,999","1,999","0,999","17,999","1,999","0,999","44,999","68,999","19,999","0,999","6,999","1,999","11,999","2,999","6,999","2,999","12,999","48,3","3,999","0,999","5,999","11,999","65,999","2,999","3,999","1,999","5,999","5,999","0,999","1,999","2,999","0,999","15,0","2,999","42,1"
"4,999","107,1","23,2","0,999","11,999","0,999","3,999","4,999","22,3","9,999","9,999","1,999","1,999","4,999","5,999","0,999","14,999","2,999","0,999","1,999","13,999","6,999","7,999","3,999","35,999","2,999","0,999","9,999","36,999","13,999","12,999","3,999","4,999","0,999","0,999","33,999","8,999","14,999","19,999","1,999","1,999","3,999","1,999","2,999","33,999","17,999","0,999","170,1","17,999","100,999","1,999","12,999","0,999","7,999","9,999","15,999","39,4","13,999","25,3","3,999","36,999","2,999","18,999","1,999","0,999","18,2","47,999","4,999","17,999","1,999","2,999","1,999","3,999","9,999","19,2","3,999","1,999","1,999","75,1","1,999","1,999","0,999","12,999","3,999","39,999","13,999","61,999","18,999","8,999","80,999","5,999","8,999","55,999","2,999","22,999","13,999","51,2","2,999","78,1","28,999"
"0,999","3,999","0,999","3,999","58,999","2,999","1,999","154,999","10,999","11,999","5,999","15,999","1,999","65,999","0,999","1,999","24,999","4,999","15,999","8,999","14,999","2,999","0,999","3,999","1,999","9,999","0,999","50,999","0,999","1,999","6,999","7,999","3,999","3,999","0,999","2,999","1,999","8,999","42,4","2,999","31,3","11,999","1,999","0,999","26,999","46,2","18,999","8,999","7,999","2,999","0,999","0,999","2,999","0,999","61,999","16,999","18,999","22,1","4,999","21,2","26,999","39,999","5,999","6,999","14,999","5,999","0,999","2,999","25,999","0,999","2,999","4,999","6,999","47,0","16,999","59,999","9,999","0,999","7,999","7,999","1,999","7,999","70,999","0,999","8,999","6,999","10,999","0,999","3,999","6,999","6,999","9,999","0,999","19,999","14,999","39,4","14,999","11,999","3,999","7,999"
"37,999","5,999","6,999","0,999","5,999","32,999","0,999","15,999","9,999","9,999","2,999","15,999","0,999","16,999","9,999","7,999","8,999","29,1","33,999","4,999","4,999","16,999","3,999","0,999","8,999","0,999","6,999","55,1","92,2","1,999","11,999","8,999","27,999","2,999","14,999","5,999","49,999","52,999","0,999","6,999","18,999","0,999","6,999","21,999","3,999","22,999","67,3","0,999","3,999","20,999","4,999","19,3","8,999","1,999","12,999","5,999","0,999","27,999","0,999","8,999","0,999","7,999","6,999","10,999","19,999","4,999","16,999","6,999","0,999","1,999","1,999","33,999","7,999","38,999","1,999","0,999","5,999","0,999","26,999","2,999","6,999","2,999","2,999","0,999","3,999","0,999","6,999","9,999","0,999","3,999","3,999","8,999","7,999","8,999","44,999","52,999","9,999","6,999","12,999","26,999"
"3,999","2,999","10,999","2,999","3,999","0,999","64,1","3,999","19,3","4,999","2,999","9,999","54,3","20,999","3,999","14,999","8,999","0,999","13,999","1,999","1,999","43,999","54,999","4,999","7,999","83,999","2,999","1,999","3,999","2,999","54,1","11,4","3,999","12,999","6,999","0,999","7,999","1,999","1,999","0,999","45,999","38,999","12,999","23,2","1,999","13,999","4,999","2,999","26,999","6,999","7,999","3,999","1,999","33,999","6,999","3,999","0,999","1,999","2,999","29,1","1,999","18,999","0,999","1,999","9,999","1,999","28,4","39,999","0,999","9,999","12,999","1,999","3,999","8,999","0,999","2,999","41,3","108,4","37,999","4,999","0,999","136,4","17,999","0,999","15,999","9,999","0,999","3,999","28,999","15,999","0,999","10,999","58,4","6,999","77,0","3,999","1,999","2,999","27,3","0,999"
"0,999","0,999","15,999","46,4","49,999","9,999","29,999","36,2","7,999","8,999","0,999","1,999","79,2","31,999","11,999","19,999","59,999","0,999","6,999","7,999","0,999","1,999","1,999","11,999","10,999","0,999","0,999","4,999","0,999","3,999","2,999","1,999","27,999","8,999","20,3","2,999","15,999","0,999","7,999","3,999","5,999","6,999","59,999","55,999","22,999","14,999","2,999","56,999","1,999","5,999","0,999","0,999","12,999","5,999","5,999","43,1","5,999","0,999","7,999","6,999","24,999","28,999","2,999","1,999","1,999","3,999","13,999","4,999","2,999","32,0","33,999","13,999","18,999","5,999","27,999","1,999","0,999","55,1","16,4","2,999","32,999","4,999","34,999","22,999","3,999","0,999","79,999","0,999","14,999","6,999","4,999","0,999","0,999","10,999","5,999","2,999","0,999","1,999","1,999","4,999"
"0,999","1,999","10,999","15,999","12,999","14,999","16,999","1,999","2,999","20,999","0,999","2,999","58,999","20,999","0,999","60,999","5,999","19,999","0,999","2,999","30,999","0,999","2,999","66,999","0,999","6,999","21,3","31,999","11,999","2,999","65,999","1,999","1,999","4,999","2,999","0,999","2,999","1,999","2,999","0,999","0,999","32,999","2,999","13,999","7,999","0,999","2,999","10,3","3,999","0,999","6,999","13,999","2,999","2,999","1,999","9,999","4,999","15,999","2,999","2,999","0,999","6,999","20,999","1,999","2,999","17,1","1,999","0,999","32,2","0,999","0,999","2,999","0,999","0,999","24,999","5,999","3,999","105,999","43,999","0,999","40,999","5,999","3,999","23,999","5,999","3,999","3,999","19,999","50,999","7,999","0,999","9,999","28,999","52,999","1,999","18,999","19,999","14,0","0,999","20,999"
